Serial Number,Date of Entry,Barcode/Accession No,Title,Author,Pages,Publisher,Place,Copyright Date,Department,Price,Discount Percent,Net Cost,Type
488,08-03-2025,PCCOEEC41384,NETZWERK DEUTSCH ALS FREMDSPRACH KURSBUCH-A2 MIT AUDIOS GERMAN 4 SET OF BOOKS.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
489,08-03-2025,PCCOEEC41385,NETZWERK TEXTBOOK FOR GERMAN GLOSSARY GERMAN-ENGLISH A2. 4 SET OF BOOKS.,"DENGLER, STEFANIE",44,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2020,GENERAL,0,,0,GBK
490,08-03-2025,PCCOEEC41386,NETZWERK DEUTSCH ALS FREMDSPRACHE A2 MIT AUDIO-DATEIEN ZUM DOWNLOAD PRLIFUNGSTRAINING GOETHE-ZERTIFIKAT A2. 4 SET OF BOOKS,"DENGLER, STEFANIE",16,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
491,08-03-2025,PCCOEEC41387,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUCH-A2 MIT AUDIOS (GERMAN) 4 SET OF BOOKS.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,970,28,698.4,GBK
492,08-03-2025,PCCOEEC41388,NETZWERK DEUTSCH ALS FREMDSPRACH KURSBUCH-A2 MIT AUDIOS (GERMAN) 4 SET OF BOOKS.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
493,08-03-2025,PCCOEEC41389,NETZWERK TEXTBOOK FOR GERMAN GLOSSARY GERMAN-ENGLISH A2. 4 SET OF BOOKS.,"DENGLER, STEFANIE",44,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2020,GENERAL,0,,0,GBK
494,08-03-2025,PCCOEEC41390,NETZWERK DEUTSCH ALS FREMDSPRACHE A2 MIT AUDIO-DATEIEN ZUM DOWNLOAD PRLIFUNGSTRAINING GOETHE-ZERTIFIKAT A2. 4 SET OF BOOKS.,"DENGLER, STEFANIE",16,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
495,08-03-2025,PCCOEEC41391,LINE 1 : DEUTSCH IN ALLTAG UND BERUF KURS UND UBUNGSBUCH A2 MIT VIDEO AND AUDIO AUF DVD ROM.,"DENGLER, STEFANIE",256,ERNST KLETT ,"SPRACHEN, STUTTGART",2021,GENERAL,2970,28,2138.4,GBK
496,08-03-2025,PCCOEEC41392,LINE 1 : DEUTSCH IN ALLTAG UND BERUF KURS UND UBUNGSBUCH A2 MIT VIDEO AND AUDIO AUF DVD ROM.,"DENGLER, STEFANIE",256,ERNST KLETT ,"SPRACHEN, STUTTGART",2021,GENERAL,2970,28,2138.4,GBK
497,23-11-2021,PCCOEEC36149,NETZWERK DEUTSCH ALS FREMDSPRACHE. KURSBUCH-A1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,950,25,712.5,GBK
498,23-11-2021,PCCOEEC36150,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUSH A.1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
499,23-11-2021,PCCOEEC36151,NETZWERK DEUTSCH ALS FREMDSPRACHE A1. GLOSSARY GERMAN-ENGLISH 3 BOOKS SET.,"DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
500,23-11-2021,PCCOEEC36152,NETZWERK DEUTSCH ALS FREMDSPRACHE. KURSBUCH-A1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,950,25,712.5,GBK
501,23-11-2021,PCCOEEC36153,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUSH A.1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
502,23-11-2021,PCCOEEC36154,NETZWERK DEUTSCH ALS FREMDSPRACHE A1. GLOSSARY GERMAN-ENGLISH 3 BOOKS SET.,"DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,,,,GBK
503,23-11-2021,PCCOEEC36155,NETZWERK DEUTSCH ALS FREMDSPRACHE. KURSBUCH-A1 MIT AUDIO-CDS 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2019,GENERAL,950,25,712.5,GBK
