Serial Number,Date of Entry,Barcode/Accession No,Title,Author,Pages,Publisher,Place,Copyright Date,Department,Price,Discount Percent,Net Cost,Type
727,03-07-2025,PCCOEEC41697,PREVENTION IS BETTER THAN CURE.,"GAIKI, CHANDRASHEKHAR",119,GREEN WORLD,PUNE,2019,GENERAL,0,,0,DBK
728,08-02-2006,PCCOEEC09145,UCHLYA,"GAIKWAD, LAXMAN",188,SHREE VIDHYA PRAKASHN,PUNE,,GENERAL,100,20,80,GBK
729,30-01-2006,PCCOEEC09052,BHASHA V BHASHASHASTRA,"GAJENDRAGADKAR, S.N.",460,VENUS PRAKASHAN,PUNE,,GENERAL,200,20,160,GBK
730,22-05-2023,PCCOEEC38531,NATIONAL EDUCATION POLICY AN EXPLICT.,GAKAPASHI PUBLICATION,269,GAKAPASHI PUBLICATION,PUNE,2020,GENERAL,,,,DBK
731,13-01-2006,PCCOEEC09039,DELTAS KEY TO THE TOEFL TEST,"GALLAGHER, NANCY.",731,NEW AGE INTERNATIONAL,NEW DELHI,,GENERAL,360,20,288,GBK
732,08-02-2003,PCCOEEC06327,AN AUTOBIOGRAPHY OR THE STORY OF MY EXPERIMENTS WITH TRUTH.,"GANDHI, M. K.",420,NAVANJIVAN PUBLISHING,,2002,GENERAL,20,16,17,GBK
733,26-11-2008,PCCOEEC11565,AN AUTOBIOGRAPHY OR THE STORY OF MY EXPERIMENTS WITH TRUTH.,"GANDHI, M. K.",257,PUFFIN BOOKS,NEW DELHI,,GENERAL,150,22,117,GBK
734,26-11-2008,PCCOEEC11570,UNDERSTANDING CONTEMPORARY INDIA.,"GANGULY, SUMIT",313,VIVA BOOKS PVT. LTD.,NEW DELHI,,GENERAL,395,22,308,GBK
735,10-02-2025,PCCOEEC40990,RAYARI : GOSHT SHIVBHAKTANCHI.,"GARAD, VISHAL",243,NEW ERA PUBLISHING HOUSE,PUNE,2024,GENERAL,300,28,216,GBK
736,21-02-2025,PCCOEEC41199,IKIGAI : THE JAPANESE SECRET TO A LONG AND HAPPY LIFE.,"GARCIA, HECTOR",194,HUTCHINSON,LONDON,2017,GENERAL,599,28,431.28,GBK
737,10-02-2025,PCCOEEC40976,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -1. SHAHAJIRAJE BHOSALE, SHAKKARTA SHIVAJI. (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",446,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,8500,28,6120,GBK
738,10-02-2025,PCCOEEC40977,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -2. UGRAPRAKRUTI SAMBHAJI, STHIRBUDDHI RAJARAM (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",356,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
739,10-02-2025,PCCOEEC40978,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -3. PUNYASHLOK SHAHU PESHWA BALAJI VISHWANATH, PESHWA BAJIRAO (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",682,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
740,10-02-2025,PCCOEEC40979," MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -4. PESHWA BALAJI BAJIRAO URFA NANASAHEB PUNYASHLOK SHAHU, CHHATRAPATI RAMRAJA. (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",739, POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
741,10-02-2025,PCCOEEC40980,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -5. NIGRAHAK MADHAVRAO, APESHI NARAYANRAO, DURAGRAHI RAGHUNATHRAO (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
742,10-02-2025,PCCOEEC40981,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -6. CHHATRAPATI RAMRAJA, CHHATRAPATI DHAKTE SHAHU RAJE, PESHWA SAWAI MADHAVRAO. (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",380,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
743,10-02-2025,PCCOEEC40982,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -7. CHHATRAPATI DHAKTE SHAHU RAJE, PESHWA SAWAI MADHAVRAO. (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",526,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
744,10-02-2025,PCCOEEC40983,"MARATHI RIYASAT : GOVIND SAKHARAM SARDESAI, KHAND -8. CHHATRAPATI DHAKTE SHAHU RAJE, PESHWA DUSARA BAJIRAO (SET OF 1 TO 8 BOOKS).","GARGE, S. M.",725,POPULAR PRAKASHAN,MUMBAI,2024,GENERAL,0,,0,GBK
745,12-11-2002,PCCOEEC05284,Pasaydhan (69 akhil bhartiya marathi sahitya sammelan alandi 1 to 4 feb 96),"GARGE,S.M.",280,SHRISHETRA ALANDI-DHEHU PARISAR VIKAS SAMITI,,1996,GENERAL,,,,DBK
746,16-11-2002,PCCOEEC05404,Sage counsels : Speeches on indian economy,"GARWARE ,B.D.",234,POPULAR PRAKASHAN,,1990,GENERAL,,,,DBK
747,17-03-2003,PCCOEEC07182,Business @ the speed of thought,"GATES ,BILL",527,WARNER BOOKS,,2000,GENERAL,125,20,100,GBK
748,08-02-2003,PCCOEEC06325,AK HOTA KARVHAR.,"GAVANKAR, VEENA",184,RAJHANS PRAKASHAN,,2002,GENERAL,150,20,120,GBK
749,04-02-2006,PCCOEEC09089,AK HOTA KARVHAR.,"GAVANKAR, VEENA",184,RAJHANS PRAKASHAN,PUNE,,GENERAL,150,20,120,GBK
750,15-01-2013,PCCOEEC24029,BHATAKANTI.,"GAWADE, P. L.",138,DEKKAN JIMKHANA,PUNE,,GENERAL,150,30,105,GBK
751,15-01-2013,PCCOEEC24030,BHATAKANTI.,"GAWADE, P. L.",138,DEKKAN JIMKHANA,PUNE,,GENERAL,150,30,105,GBK
752,15-01-2013,PCCOEEC24031,BHATAKANTI.,"GAWADE, P. L.",138,DEKKAN JIMKHANA,PUNE,,GENERAL,150,30,105,GBK
753,17-01-2020,PCCOEEC35351,VANCHIT BALAKE AANI SAMAJ.,"GAYKWAD, DATTA.",166,AAPLE GHAR RASTRA SEVA DAL,USMANABAD,2019,GENERAL,200,,200,GBK
754,17-01-2020,PCCOEEC35352,VANCHIT BALAKE AANI SAMAJ.,"GAYKWAD, DATTA.",166,AAPLE GHAR RASTRA SEVA DAL,USMANABAD,2019,GENERAL,200,,200,GBK
755,17-01-2020,PCCOEEC35353,VANCHIT BALAKE AANI SAMAJ.,"GAYKWAD, DATTA.",166,AAPLE GHAR RASTRA SEVA DAL,USMANABAD,2019,GENERAL,200,,200,GBK
756,12-09-2014,PCCOEEC27934,ENGINEERACH WHYACHAY.,"GEET, SHRIRAM",96,RAJHANS PRAKASHAN,PUNE,,GENERAL,,,,DBK
757,06-01-2023,PCCOEEC37276,IMPORTANT JUDGEMENTS THAT TRANSFORMED INDIA : FOR UPSC CIVIL SERVICES EXAMINATION.,"GEORGE, ALEX ANDREWS",234,MCGRAW HILL EDUCATION (INDIA) PRIVATE LIMITED,CHENNAI,2022,GENERAL,315,25,236.25,HSB
758,06-01-2023,PCCOEEC37277,IMPORTANT JUDGEMENTS THAT TRANSFORMED INDIA : FOR UPSC CIVIL SERVICES EXAMINATION.,"GEORGE, ALEX ANDREWS",234,MCGRAW HILL EDUCATION (INDIA) PRIVATE LIMITED,CHENNAI,2022,GENERAL,315,25,236.25,HSB
759,23-03-2004,PCCOEEC08006,Learn six sigma,"GEORGE,MICHAEL L",322,TMH,,2002,GENERAL,236,,236,GBK
760,04-02-2006,PCCOEEC09110,RAM JETHMALANI,"GERA, NALINI",400,CHINAR PUBLISHING,PUNE,,GENERAL,330,20,264,GBK
761,02-11-2007,PCCOEEC11122,WHO SYS ELEPHANTS CANT DANCE.,"GERSTNER, LOUIS V.",372,HARPER COLLINS PUBLICATION,LONDON,,GENERAL,295,22,230,GBK
762,12-10-2009,PCCOEEC13795,SULABH SARTH AMRUTANUBHAV.,"GHAISAS, DIVAKAR ANA",215,RAYKAR PUB. HOU. PRV. LTD.,MUMBAI,,GENERAL,,,,DBK
763,17-09-2014,PCCOEEC28036,DAINANDIN TUKARAM GATHA,"GHAISAS, DIVAKAR ANA",372,MANORAMA PRAKASHAN,MUMBAI,,GENERAL,,,,DBK
764,08-06-2023,PCCOEEC38534,FRACTURED FREEDOM : TURUNGATIL AATHAWNI V CHINTAN,"GHANDY, KOBAD",271,LOKWANGMAY GRHUH ,MUMBAI,2023,GENERAL,300,10,270,GBK
765,15-01-2013,PCCOEEC24044,YASH MILNARCH.,"GHANEKAR, MADHUSUDN",63,AKSHAYYA PRAKASHAN,PUNE,,GENERAL,40,30,28,GBK
766,15-01-2013,PCCOEEC24045,YASH MILNARCH.,"GHANEKAR, MADHUSUDN",63,AKSHAYYA PRAKASHAN,PUNE,,GENERAL,40,30,28,GBK
767,15-01-2013,PCCOEEC24046,YASH MILNARCH.,"GHANEKAR, MADHUSUDN",63,AKSHAYYA PRAKASHAN,PUNE,,GENERAL,40,30,28,GBK
768,08-01-2013,PCCOEEC23829,YASH MILNARCH.,"GHANEKAR, MADHUSUDN",64,AKSHAYYA PRAKASHAN,PUNE,,GENERAL,40,30,28,GBK
769,11-09-2014,PCCOEEC27932,"SHIVNERI NANEGHAT, HARISHCHANDRA GAD V PARISAR.","GHANEKAR, P. K.",127,SNEHAL PRAKSHAN,PUNE,,GENERAL,,,,DBK
770,10-01-2013,PCCOEEC23901,VIDNYNANE JAG BADALALE.,"GHATE, NIRANJAN",136,SAKET PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
771,12-01-2013,PCCOEEC23939,VIDYANVARI.,"GHATE, NIRANJAN",125,MANOVIKAS PRAKASHN,PUNE,,GENERAL,100,30,70,GBK
772,15-01-2013,PCCOEEC24053,VIDNYNANE JAG BADALALE.,"GHATE, NIRANJAN",136,SAKET PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
773,15-01-2013,PCCOEEC24054,VIDNYNANE JAG BADALALE.,"GHATE, NIRANJAN",136,SAKET PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
774,15-01-2013,PCCOEEC24055,VIDNYNANE JAG BADALALE.,"GHATE, NIRANJAN",136,SAKET PRAKASHAN,PUNE,,GENERAL,140,30,98,GBK
775,16-09-2014,PCCOEEC28024,AAPLYA PURVAJYANCHE VIDNYAN.,"GHATE, NIRANJAN",211,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
776,16-09-2014,PCCOEEC28028,AAPLYA PURVAJYANCHE TANTRADYANAN.,"GHATE, NIRANJAN",228,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
777,20-01-2014,PCCOEEC26686,BHARTIYA LOKANCHYA ITIHASACHI RUPRESHA.,"GHOSHAL, H. R.",180,"PRAKASHAN VIBHAG, MAHITI AANI PRASARAN MANTRALYA",NEW DELHI,,GENERAL,70,50,35,GBK
778,16-03-2003,PCCOEEC07143,Expert systems,"GIARRATANO,JOSEPH",597,THOMSON ASIA PTE LTD,,2002,GENERAL,495,20,396,GBK
779,12-12-2003,PCCOEEC07503,CAMBRIDGE LEARNERS DICTIONARY,"GILLARD, PATRICK",767,CAMBRIDGE UNIVERSITY PRESS,,2003,GENERAL,350,1,346.5,GBK
780,21-11-2002,PCCOEEC05505,Glenns new auto repair manual : with specifications for the past 12 years,"GLENN, HAROLD T",1064,CHILTON COMPANY PHILADELPHIA,,1961,GENERAL,,,,DBK
781,11-10-2021,PCCOEEC35684,SUSKSHMAJANTU SUKSHMJIVANCHYA UTKRANTIPASUN TE KOVHDPARYANTCHA CITTATHARARK ITIHAS AANI VIDNYAN.,Godbole Vaidya,352,SAKET PRAKASHAN,PUNE,2021,GENERAL,290,10,261,GBK
782,11-10-2021,PCCOEEC35663,KIMAYAGAR.,"GODBOLE, ACHYUT",542,RAJHANS PRAKASHAN,PUNE,2020,GENERAL,350,10,315,GBK
783,11-10-2021,PCCOEEC35664,BOARDROOM.,"GODBOLE, ACHYUT",215,RAJHANS PRAKASHAN,PUNE,2019,GENERAL,300,10,270,GBK
784,11-10-2021,PCCOEEC35665,NANODAY NANOTECHNOLOGY ATHISUKSHMA DUNIYECHI ROMHARSHAK SAFAR.,"GODBOLE, ACHYUT",285,RAJESH PRAKASHAN,PUNE,2020,GENERAL,350,10,315,GBK
785,11-10-2021,PCCOEEC35666,ARTHATH ARTHASHASTRACHA ITIHAS SINDDHAT AAN CHARITRA YANCHI RANJAK SAFAR.,"GODBOLE, ACHYUT",407,RAJHANS PRAKASHAN,PUNE,2021,GENERAL,325,10,292.5,GBK
786,11-10-2021,PCCOEEC35668,GULAM SPARTAKAS TE OBAMA.,"GODBOLE, ACHYUT",376,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,370,10,333,GBK
787,11-10-2021,PCCOEEC35669,GANITI.,"GODBOLE, ACHYUT",470,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,330,10,297,GBK
788,11-10-2021,PCCOEEC35670,MUSAFEER.,"GODBOLE, ACHYUT",482,MANOVIKAS PRAKASHN,PUNE,2021,GENERAL,280,10,252,GBK
789,11-10-2021,PCCOEEC35671,TANTRADNYA GENIUS THOMAS ALVA ADISAN AANI DIWA ALEXZANDER GRAHAM BEL AANI TELIPHONE NIKOLO TESLA AAN,"GODBOLE, ACHYUT",131,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,120,10,108,GBK
790,11-10-2021,PCCOEEC35672,TANTRADNYA GENIUS GUGLIALMO MARKONI JOHN LWAGI BEARD ALAN TURING STIVH JOBJ BHAG-2.,"GODBOLE, ACHYUT",135,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,120,10,108,GBK
791,11-10-2021,PCCOEEC35673,TANTRADNYA GENIUS BIL GETS JEF BEZAWAS LARY PEJA SARGI BREEN MARK ZUKARBARG BHAG-3.,"GODBOLE, ACHYUT",144,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,120,10,108,GBK
792,11-10-2021,PCCOEEC35674,ANARTH VIKASNITI SARVANASHACHA UMBARTHYAWAR.,"GODBOLE, ACHYUT",442,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,299,10,269.1,GBK
793,11-10-2021,PCCOEEC35675,SANWAD TUTARYA SHINGH DHUR YAPASUN FACEBOOK AANI MOBILEPARAYNTCHA MANVI SAWANDACHA CITTATHARARK AANI,"GODBOLE, ACHYUT",542,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,380,10,342,GBK
794,11-10-2021,PCCOEEC35677,CANVAS.,"GODBOLE, ACHYUT",588,MANOVIKAS PRAKASHN,PUNE,2018,GENERAL,430,10,387,GBK
795,11-10-2021,PCCOEEC35678,RAKTA RAKTACHA UTKANTHAVARDHAK CITTATHARARK ITIHAS AANI VIDNYAN.,"GODBOLE, ACHYUT",383,SAKET PRAKASHAN,PUNE,2018,GENERAL,290,10,261,GBK
796,11-10-2021,PCCOEEC35679,VITAMINS VITAMINSCHYA SHODHANCHI RANJAK SAFAR LAKSHVEDHI ITIHAS AANI VIDNYAN.,"GODBOLE, ACHYUT",439,SAKET PRAKASHAN,PUNE,2018,GENERAL,350,10,315,GBK
797,11-10-2021,PCCOEEC35680,PRAWAS ASHMUYGIN CHAKANPASUN TE MANGLAVARCHYA SWARIPARYANTCHA MANVI PRAGTICHA.,"GODBOLE, ACHYUT",515,MADHUSHREE PUBLICATION,NASHIK,2021,GENERAL,375,10,337.5,GBK
798,11-10-2021,PCCOEEC35681,SAJIV JIVSHASTRACHA ITIHAS AANI VIDNYAN YANCHI CITTATHARARK AANI RANJAK SAFAR.,"GODBOLE, ACHYUT",548,MADHUSHREE PUBLICATION,NASHIK,2021,GENERAL,375,10,337.5,GBK
799,11-10-2021,PCCOEEC35682,ARTIFICIAL INTELLIGENCE.,"GODBOLE, ACHYUT",363,MADHUSHREE PUBLICATION,NASHIK,2021,GENERAL,250,10,225,GBK
800,11-10-2021,PCCOEEC35683,STEVE JONS EK ZAPATLELA TANTRADNYA.,"GODBOLE, ACHYUT",152,MEHTA PUBLISHING HOUSE,MUMBAI,2018,GENERAL,150,10,135,GBK
801,11-10-2021,PCCOEEC35689,MANAT MANSSHASTRACHI UTKANTHAVARDHK RAMYA SAFAR.,"GODBOLE, ACHYUT",582,MANOVIKAS PRAKASHN,PUNE,2020,GENERAL,395,10,355.5,GBK
802,15-01-2013,PCCOEEC23990,MUSAFEER.,"GODBOLE, ACHYUT",464,MANOVIKAS PRAKASHN,PUNE,,GENERAL,250,25,188,GBK
803,18-12-2012,PCCOEEC23531,MANAT,"GODBOLE, ACHYUT",589,MANOVIKAS PRAKASHN,PUNE,,GENERAL,375,15,319,GBK
804,13-05-2025,PCCOEEC41668,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
805,13-05-2025,PCCOEEC41669,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
806,13-05-2025,PCCOEEC41670,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
807,13-05-2025,PCCOEEC41671,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
808,13-05-2025,PCCOEEC41672,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
809,13-05-2025,PCCOEEC41673,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
810,13-05-2025,PCCOEEC41674,MUSAFEER : SANGHARSH AANI CHITRAVICHITRA ANUBHAVACH AIK KOLAJ !,"GODBOLE, ACHYUT",544,BOOKGANGA PUBLICATIONS.,PUNE,2024,GENERAL,0,,0,DBK
811,14-01-2013,PCCOEEC23989,MANAT,"GODBOLE, ACHYUT",589,MANOVIKAS PRAKASHN,PUNE,,GENERAL,375,25,281,GBK
812,04-01-2013,PCCOEEC23793,BHARATACHYA SANSADEEYA LOKASHAHEECHEE AGNIPAREEKSHA.,"GODBOLE, MADHAV",375,RAJHANS PRAKASHAN,PUNE,,GENERAL,350,30,245,GBK
813,27-03-2018,PCCOEEC34088,INDIRA GANDHI : EK VADALI PARV.,"GODBOLE, MADHAV",,RAJHANS PRAKASHAN,PUNE,,GENERAL,350,15,297.5,GBK
814,12-01-2013,PCCOEEC23950,KAY TUZYA MANAT.,"GODBOLE, MANGALA",131,RAJHANS PRAKASHAN,PUNE,,GENERAL,115,30,81,GBK
815,14-01-2013,PCCOEEC23974,SAMRAT AKBAR.,"GODBOLE, RAVINDRA",331,,PUNE,,GENERAL,450,30,315,GBK
816,14-01-2013,PCCOEEC23975,AURNAGJEB : SHAKYATA AANI SHOKANTIKA.,"GODBOLE, RAVINDRA",228,,PUNE,,GENERAL,400,30,280,GBK
817,04-02-2006,PCCOEEC09087,GANDHI HATYA AANI ME.,"GODSE, GOPAL",340,RAVIRAJ PRAKASHAN,PUNE,,GENERAL,200,20,160,GBK
818,04-02-2006,PCCOEEC09106,PANCHAVNNA KOTICHE BALI,"GODSE, GOPAL",207,RAVIRAJ PRAKASHAN,PUNE,,GENERAL,120,20,96,GBK
819,28-02-2024,PCCOEEC40363,MAHARASHTRA ENGINEERING SERVICES COMBINED PRELIMINARY EXAMINATION : ENGINEERING APTITUDE TEST VOL III.,"GOEL, ANUP  PATIL, ",5-201,TECHNICAL PUBLICATIONS,PUNE,2020,GENERAL,575,15,488.75,HSB
820,28-02-2024,PCCOEEC40364,MAHARASHTRA ENGINEERING SERVICES COMBINED PRELIMINARY EXAMINATION : ENGINEERING APTITUDE TEST VOL III.,"GOEL, ANUP  PATIL, ",5-201,TECHNICAL PUBLICATIONS,PUNE,2020,GENERAL,575,15,488.75,HSB
821,22-11-2010,PCCOEEC18249,BUSINESS LAW FOR MANAGERS.,"GOEL, P. K.",316,BIZTANTRA,NEW DELHI,,GENERAL,279,25,209.25,GBK
822,22-11-2010,PCCOEEC18250,BUSINESS LAW FOR MANAGERS.,"GOEL, P. K.",316,BIZTANTRA,NEW DELHI,,GENERAL,279,25,209.25,GBK
823,15-03-2024,PCCOEEC40406,THE PRISONER OF MANDALAY.,"GOKHALE, ARVIND VYANKATESH",476,NATIONAL BOOK TRUST INDIA,NEW DELHI,2019,GENERAL,420,10,378,GBK
824,08-01-2013,PCCOEEC23825,VACHILE TE VECHILE.,"GOKHALE, HEMANT",260,DIKSHA PUB.,PUNE,,GENERAL,225,30,158,GBK
825,12-01-2013,PCCOEEC23952,SUKHI MANASACHA SADARA.,"GOKHALE, KARUNA",174,RAJHANS PRAKASHAN,PUNE,,GENERAL,175,30,123,GBK
826,15-09-2014,PCCOEEC28014,TUKYACHI AAWALI.,"GOKHALE, MNJUSHREE",182,MEHATA PRAKASHAN,PUNE,,GENERAL,,,,DBK
827,13-01-2006,PCCOEEC09027,THE GOAL : A PROCESS OF ONGOING IMPROVEMENT,"GOLDRATT, ELIYAHU M.",396,PRODUCTIVITY AND QUALITY PUBLISHING PVT LTD,MADRAS,,GENERAL,395,20,316,GBK
828,02-11-2007,PCCOEEC11094,THE GOAL : A PROCESS OF ONGOING IMPROVEMENT,"GOLDRATT, ELIYAHU M.",396,PRODUCTIVITY AND QUALITY PUBLISHING PVT LTD,MADRAS,,GENERAL,425,22,332,GBK
829,26-11-2008,PCCOEEC11579,WHAT GOT YOU HERE WONT GET YOU THERE : HOW SUCCESSFUL PEOPLE BECOME EVEN MORE SUCCESSFUL.,"GOLDSMITH, MARSHALL",236,PROFILE BOOKS,LONDON,,GENERAL,225,22,176,GBK
830,08-10-2013,PCCOEEC25860,WORKING WITH EMOTIONAL INTELLIGENCE.,"GOLEMAN, DANIEL",383,BLOOMSBURY PUB PLC.,LONDON,,GENERAL,295,22,230,GBK
831,15-11-2010,PCCOEEC17541,ENGLISH FOR COMPETITIVE EXAMINATIONS.,"GOPALAN, R.",275,VIJAY NICOLE IMPRINTS PVT LTD.,CHENNAI,,GENERAL,150,25,112.5,GBK
832,15-11-2010,PCCOEEC17540,ENGLISH FOR COMPETITIVE EXAMINATIONS.,"GOPALAN, R.",275,VIJAY NICOLE IMPRINTS PVT LTD.,CHENNAI,,GENERAL,150,25,112.5,GBK
833,04-01-2013,PCCOEEC23774,YASHSWI VHAV KAS ?,GORLE SHIVRAJ,226,SAKAL PRAKASHN,PUNE,,GENERAL,190,30,133,GBK
834,23-10-2007,PCCOEEC10788,MAJET JAGAV KAS,GORLE SHIVRAJ,268,RAJHANS PRAKASHAN,PUNE,,GENERAL,225,23,173,GBK
835,23-10-2007,PCCOEEC10791,MANSA JODAVI KASHI,GORLE SHIVRAJ,185,RAJHANS PRAKASHAN,PUNE,,GENERAL,160,23,123,GBK
836,04-01-2013,PCCOEEC23782,MAJET JAGAV KAS,GORLE SHIVRAJ,268,RAJHANS PRAKASHAN,PUNE,,GENERAL,250,30,175,GBK
837,16-01-2013,PCCOEEC24065,MAJET JAGAV KAS,GORLE SHIVRAJ,268,RAJHANS PRAKASHAN,PUNE,,GENERAL,250,30,175,GBK
838,16-01-2013,PCCOEEC24066,MAJET JAGAV KAS,GORLE SHIVRAJ,268,RAJHANS PRAKASHAN,PUNE,,GENERAL,250,30,175,GBK
839,16-01-2013,PCCOEEC24067,MAJET JAGAV KAS,GORLE SHIVRAJ,268,RAJHANS PRAKASHAN,PUNE,,GENERAL,250,30,175,GBK
840,16-01-2013,PCCOEEC24121,YASHSWI VHAV KAS ?,GORLE SHIVRAJ,226,SAKAL PRAKASHN,PUNE,,GENERAL,190,30,133,GBK
841,16-01-2013,PCCOEEC24122,YASHSWI VHAV KAS ?,GORLE SHIVRAJ,226,SAKAL PRAKASHN,PUNE,,GENERAL,190,30,133,GBK
842,16-01-2013,PCCOEEC24123,YASHSWI VHAV KAS ?,GORLE SHIVRAJ,226,SAKAL PRAKASHN,PUNE,,GENERAL,190,30,133,GBK
843,12-09-2014,PCCOEEC27962,KASHASATHI YASHASATHI !,GORLE SHIVRAJ,72,INDRAYANI SAHITYA,PUNE,,GENERAL,,,,DBK
844,25-01-2011,PCCOEEC18618,BHARATACHE SANVIDHAN(THE CONSTITUTION OF INDIA) MARATHI VERSION,GOVERNMENT OF INDIA,282,GOVERNMENT OF MAHARASHTRA,MUMBAI,2006,GENERAL,130,,130,GBK
845,26-10-2013,PCCOEEC26637,ECONOMIC SUREY : 2012-13.,GOVERNMENT OF INDIA,,OXFORD UNIVERSITY PRESS.,NEW YORK,,GENERAL,395,20,316,HSB
846,26-07-2012,PCCOEEC20995,"THE MAHARASHTRA UNIVERSITIES ACT,1994 : MAHARASHTRA ACT XXXV OF 1994",GOVERNMENT OF MAHARA,95,LAW AND JUDICIARY DEPARTMENT,MUMBAI,2006,GENERAL,23,,23,GBK
847,26-07-2012,PCCOEEC20996,"THE MAHARASHTRA UNIVERSITIES ACT, 1994. ( AS MODIFIED UPTO THE 31ST JANUUARY 2006 )",GOVERNMENT OF MAHARA,96,LAW AND JUDICIARY DEPARTMENT,MUMBAI,2005,GENERAL,25,,25,GBK
848,26-07-2012,PCCOEEC20997,"MAHARASHTRA CIVIL SERVICES(PAY) RULES,1981",GOVERNMENT OF MAHARA,65,FINANCE DEPARTMENT,MUMBAI,2010,GENERAL,40,,40,GBK
849,26-07-2012,PCCOEEC20998,"MAHARASHTRA NAGARI SEVA(SHISTA VA APIL) NIYAM, 1979 ( UPDATED 31 JULY 2008)",GOVERNMENT OF MAHARA,49,"SAMANYA PRASHASAN, MAHARASHTRA SHASAN",MUMBAI,2010,GENERAL,12,,12,GBK
850,26-07-2012,PCCOEEC21001,MAHARASHTRA NAGARI SEVA (NIVRUTTIVETANACHE ANSHIKARAN) NIYAM 1984,GOVERNMENT OF MAHARA,52,FINANCE DEPARTMENT,MUMBAI,2010,GENERAL,45,,45,GBK
851,26-07-2012,PCCOEEC21002,"THE MAHARASHTRA UNIVERSITIES ACT, 1994. ( AS MODIFIED UPTO THE 12 SEPT 2006 )",GOVERNMENT OF MAHARA,97,LAW AND JUDICIARY DEPARTMENT,MUMBAI,2006,GENERAL,23,,23,GBK
852,26-07-2012,PCCOEEC20999,"MAHARASHTRA NAGARI SEVA(SHISTA VA APIL) NIYAM, 1979 ( UPDATED 31 JULY 2008)",GOVERNMENT OF MAHARA,49,"SAMANYA PRASHASAN, MAHARASHTRA SHASAN",MUMBAI,2010,GENERAL,12,,12,GBK
853,26-07-2012,PCCOEEC21000,"MAHARASHTRA CIVIL SERVICES(PAY) RULES,1981",GOVERNMENT OF MAHARA,65,FINANCE DEPARTMENT,MUMBAI,2010,GENERAL,40,,40,GBK
